user_id,n_events,n_sessions,n_active_days,sess_per_active_day
566982488,813,806,1,806.0
575818086,509,456,1,456.0
621729690,342,342,1,342.0
609479901,749,336,1,336.0
606631574,2733,1667,5,333.4
596955231,601,307,1,307.0
531344288,472,304,1,304.0
373989853,2241,2241,8,280.125
527021202,26752,17403,80,217.5375
574406416,1619,1264,6,210.66666666666666
602425711,196,196,1,196.0
603549419,196,194,1,194.0
391227980,1362,1350,7,192.85714285714286
569009887,324,177,1,177.0
584204376,178,172,1,172.0
621679686,269,172,1,172.0
575828830,190,169,1,169.0
613295390,192,168,1,168.0
604500653,297,168,1,168.0
564388422,621,168,1,168.0
566888198,223,167,1,167.0
609817587,259,167,1,167.0
606787783,1229,804,5,160.8
560376815,336,313,2,156.5
561665088,2178,1250,8,156.25
607916558,1496,312,2,156.0
462237553,219,156,1,156.0
618435498,288,156,1,156.0
572973273,208,153,1,153.0
573387774,200,149,1,149.0
576802932,1299,444,3,148.0
601118549,226,148,1,148.0
498771051,263,146,1,146.0
620929897,147,146,1,146.0
585853785,255,141,1,141.0
581377884,196,140,1,140.0
563786540,1313,1113,8,139.125
501928942,234,139,1,139.0
532325275,223,139,1,139.0
550421626,166,136,1,136.0
592906495,157,134,1,134.0
561481527,313,134,1,134.0
233878257,379,131,1,131.0
577564620,174,130,1,130.0
599111125,200,130,1,130.0
541937394,499,390,3,130.0
573625347,1340,905,7,129.28571428571428
582767839,1940,1422,11,129.27272727272728
551129347,185,128,1,128.0
616833448,393,376,3,125.33333333333333
612976058,137,125,1,125.0
604132547,244,125,1,125.0
619666935,133,124,1,124.0
589630252,1157,616,5,123.2
557616099,9903,8559,70,122.27142857142857
520453142,179,122,1,122.0
597960781,203,121,1,121.0
568833146,170,120,1,120.0
596482758,136,120,1,120.0
597941253,292,240,2,120.0
584257637,167,119,1,119.0
587322418,423,232,2,116.0
566892938,372,228,2,114.0
484723382,571,455,4,113.75
587832792,155,112,1,112.0
584771567,167,111,1,111.0
610719846,917,331,3,110.33333333333333
581863366,124,110,1,110.0
592715752,148,110,1,110.0
619175364,119,109,1,109.0
431644797,552,538,5,107.6
564480878,118,107,1,107.0
618828832,274,210,2,105.0
609393695,319,313,3,104.33333333333333
584987432,150,104,1,104.0
591655784,146,103,1,103.0
592305623,133,103,1,103.0
420963645,173,103,1,103.0
605373441,159,103,1,103.0
584882913,934,715,7,102.14285714285714
562052862,110,101,1,101.0
593788778,306,101,1,101.0
578021269,214,101,1,101.0
587997733,331,202,2,101.0
578819274,159,100,1,100.0
603738765,200,200,2,100.0
617137017,600,600,6,100.0
411866170,536,400,4,100.0
600451597,156,99,1,99.0
607812915,146,99,1,99.0
518907848,165,96,1,96.0
575447855,403,192,2,96.0
612768248,200,96,1,96.0
618950312,340,191,2,95.5
590777424,129,95,1,95.0
621407984,115,95,1,95.0
578184892,135,95,1,95.0
411387606,157,95,1,95.0
434619807,344,95,1,95.0
562507564,127,94,1,94.0
579342283,125,94,1,94.0
533604260,152,94,1,94.0
558319653,247,94,1,94.0
70406741,445,186,2,93.0
617587436,137,93,1,93.0
466018870,507,464,5,92.8
577763915,3455,2401,26,92.34615384615384
592288571,104,92,1,92.0
592296110,118,92,1,92.0
508993781,254,92,1,92.0
576146436,110,92,1,92.0
360932660,287,184,2,92.0
614214163,150,91,1,91.0
575365889,395,182,2,91.0
614506557,1270,997,11,90.63636363636364
530926371,95,90,1,90.0
578663790,135,90,1,90.0
620828408,92,90,1,90.0
582101364,254,90,1,90.0
597135174,3597,2224,25,88.96
584815618,217,177,2,88.5
617092509,370,177,2,88.5
538513754,426,177,2,88.5
429937087,184,88,1,88.0
588345228,168,88,1,88.0
568584983,493,263,3,87.66666666666667
556486127,486,263,3,87.66666666666667
577896990,261,261,3,87.0
561340919,95,87,1,87.0
580287474,387,260,3,86.66666666666667
579584087,182,173,2,86.5
495766547,126,86,1,86.0
556620861,161,86,1,86.0
597077192,140,86,1,86.0
572772094,271,171,2,85.5
598201379,346,342,4,85.5
560327126,457,342,4,85.5
566391692,127,85,1,85.0
515436982,128,85,1,85.0
607824729,394,253,3,84.33333333333333
588971741,104,84,1,84.0
546737377,184,84,1,84.0
399918822,99,84,1,84.0
562886762,224,84,1,84.0
601103943,126,84,1,84.0
574928795,289,83,1,83.0
611114047,156,83,1,83.0
559719091,107,83,1,83.0
600223376,115,83,1,83.0
527054720,127,83,1,83.0
556730134,1364,1314,16,82.125
559622484,83,82,1,82.0
621952798,132,82,1,82.0
560943884,86,82,1,82.0
567774493,102,81,1,81.0
567780590,142,81,1,81.0
610621644,196,81,1,81.0
390950651,92,81,1,81.0
571402053,119,81,1,81.0
592495515,82,81,1,81.0
561693980,259,242,3,80.66666666666667
576231416,220,80,1,80.0
563408172,266,80,1,80.0
613702640,100,80,1,80.0
588237900,134,80,1,80.0
378901306,137,80,1,80.0
597185408,101,80,1,80.0
525491805,448,400,5,80.0
610811933,82,80,1,80.0
575459844,208,80,1,80.0
543360881,150,80,1,80.0
580403382,80,80,1,80.0
614554653,136,80,1,80.0
557956487,7735,5674,71,79.91549295774648
582112538,426,318,4,79.5
613496730,159,159,2,79.5
442546342,198,79,1,79.0
575816023,131,79,1,79.0
563296192,134,79,1,79.0
589031154,312,158,2,79.0
614275460,166,157,2,78.5
582311801,114,78,1,78.0
527851385,93,78,1,78.0
562521828,271,234,3,78.0
603591786,150,78,1,78.0
317779161,598,467,6,77.83333333333333
606362803,293,233,3,77.66666666666667
564780450,771,466,6,77.66666666666667
609905356,185,77,1,77.0
606674273,206,77,1,77.0
559982529,166,76,1,76.0
585850933,126,76,1,76.0
587694066,163,76,1,76.0
613485446,98,76,1,76.0
577502221,76,76,1,76.0
476577170,1570,1515,20,75.75
476803144,247,151,2,75.5
585130568,144,75,1,75.0
615203013,83,75,1,75.0
564078265,107,75,1,75.0
564918786,136,75,1,75.0
420942753,103,74,1,74.0
584337288,95,74,1,74.0
573908949,102,74,1,74.0
582480821,73,73,1,73.0
579692464,99,73,1,73.0
606077708,103,73,1,73.0
547560747,542,365,5,73.0
382204861,254,73,1,73.0
593583254,275,216,3,72.0
572861595,75,72,1,72.0
574869566,303,144,2,72.0
555996376,101,72,1,72.0
620650154,175,72,1,72.0
600618228,192,144,2,72.0
608456997,216,72,1,72.0
586726972,143,72,1,72.0
542710886,214,143,2,71.5
619601838,89,71,1,71.0
567668763,72,71,1,71.0
462539433,288,142,2,71.0
566146135,94,71,1,71.0
572998629,180,71,1,71.0
581352925,71,71,1,71.0
604967429,236,142,2,71.0
567104992,283,141,2,70.5
600981571,563,211,3,70.33333333333333
456075956,436,281,4,70.25
590387543,70,70,1,70.0
595091086,70,70,1,70.0
