metric,value,method,note
distinct_purchasers,109732.0,count,bot-excluded
second_purchase_rate_naive_pct,22.54,naive (right-censoring ignored),24730/109732
second_purchase_rate_km_by_30d_pct,14.84,Kaplan-Meier CDF,censoring-aware
second_purchase_rate_km_by_60d_pct,21.76,Kaplan-Meier CDF,censoring-aware
second_purchase_rate_km_by_90d_pct,25.76,Kaplan-Meier CDF,censoring-aware
median_days_to_2nd_purchase_km,inf,Kaplan-Meier median,censoring-aware
third_given_second_rate_naive_pct,40.42,naive (right-censoring ignored),9995/24730
third_given_second_rate_km_by_30d_pct,28.59,Kaplan-Meier CDF,"censoring-aware, conditional on reaching 2nd"
third_given_second_rate_km_by_60d_pct,43.32,Kaplan-Meier CDF,"censoring-aware, conditional on reaching 2nd"
third_given_second_rate_km_by_90d_pct,50.74,Kaplan-Meier CDF,"censoring-aware, conditional on reaching 2nd"
median_days_2nd_to_3rd_km,86.3,Kaplan-Meier median,censoring-aware
