removal_count_quartile,type_exclusive,n,n_repeat,repeat_rate_pct
Q1 (fewest),comparison_browse,1682,80,4.756242568370987
Q1 (fewest),deferred_intent,9111,1011,11.096476786302272
Q1 (fewest),other_inconclusive,15369,569,3.7022577916585333
Q1 (fewest),price_driven,2744,61,2.2230320699708455
Q1 (fewest),true_abandonment,32795,492,1.500228693398384
Q2,comparison_browse,2058,149,7.240038872691934
Q2,deferred_intent,7679,1451,18.89568954290923
Q2,other_inconclusive,3401,205,6.027638929726551
Q2,price_driven,3967,141,3.554323166120494
Q2,true_abandonment,19398,602,3.10341272296113
Q3,comparison_browse,3337,291,8.720407551693137
Q3,deferred_intent,12318,3636,29.51777886020458
Q3,other_inconclusive,946,64,6.765327695560254
Q3,price_driven,7577,427,5.635475781971756
Q3,true_abandonment,15881,645,4.061457087085196
Q4 (most),comparison_browse,2923,242,8.279165241190558
Q4 (most),deferred_intent,22856,12272,53.69268463423171
Q4 (most),other_inconclusive,104,5,4.8076923076923075
Q4 (most),price_driven,10725,728,6.787878787878788
Q4 (most),true_abandonment,6999,308,4.400628661237319
