brand_bucket,n_sessions,n_converted,conv_rate_pct,ci_low_pct,ci_high_pct
NULL (no brand logged),1685531,62413,3.702868710216543,3.6744667971772427,3.731481652442533
bluesky,31955,1219,3.81473947739008,3.610207927401823,4.030373981573298
bpw.style,56769,1991,3.5071958287093308,3.358985899904634,3.661697505050115
cnd,53014,2240,4.225298977628551,4.057349040219411,4.399882215231312
concept,78437,2547,3.2471920139729975,3.1254202133935713,3.373543035868514
domix,31088,1376,4.4261451363870306,4.203090217284682,4.660461536221598
estel,126070,4653,3.6908066946934244,3.588137072327733,3.796298391123703
freedecor,25312,670,2.6469658659924145,2.4562779059473927,2.8520246484299383
grattol,180091,6528,3.624834111643558,3.5394951193119932,3.712151487016191
haruyama,22643,873,3.8554961798348275,3.6124479934594738,4.114198841607895
ingarden,60095,2849,4.740827023878858,4.573794488912858,4.913645402466004
irisk,183196,6825,3.7255180244110133,3.639759874970346,3.813216803445491
italwax,68088,3348,4.917166020444131,4.7572808838731415,5.082137929425509
jessnail,92833,1970,2.1220902049917596,2.03134323538037,2.216799416661546
kapous,130073,3006,2.311009971323795,2.2307532498974054,2.394083416916317
masura,129797,3911,3.013166714176753,2.9215481027477668,3.107566478380308
milv,25027,834,3.3324010069125345,3.117101647379387,3.562024428230625
oniq,21835,620,2.8394779024501946,2.6273259565856124,3.068220948528749
other_named_brand,964263,32271,3.346701055624866,3.3109887612726783,3.3827850660187946
pole,25769,965,3.744809655011836,3.5198119392910066,3.983596103281814
runail,259239,10665,4.113964334070105,4.038186820945633,4.191101725179741
uno,61224,2867,4.6828041290997,4.518278388514338,4.853016307020091
