hour_of_day,n_sessions,n_converted,conv_rate_pct,ci_low_pct,ci_high_pct
0,38259,1055,2.757521106144959,2.5981188503470425,2.9264093295469067
1,35625,962,2.7003508771929825,2.53706224006316,2.8738390968463365
2,41877,1173,2.8010602478687585,2.64730281655378,2.963476186373308
3,60665,1742,2.8715074589961262,2.741567684505433,3.0074154425056308
4,88884,2784,3.1321722694748213,3.019670869413087,3.248724635951926
5,135565,4878,3.598273890753513,3.5004380079215682,3.6987394386049375
6,184428,7119,3.8600429435877417,3.773080647519647,3.948927301959382
7,221442,8792,3.9703398632599054,3.889808155887089,4.052468539379401
8,241265,9654,4.001409238803805,3.923932858661492,4.080350389043662
9,251260,10042,3.9966568494786276,3.920766480128472,4.073953867292812
10,260684,10349,3.9699406177594327,3.8956638270447623,4.0455739932433925
11,266842,10414,3.9026839852796784,3.8298669572241693,3.9768282286310837
12,271366,10071,3.7112239558382405,3.640752595000322,3.783005826540322
13,255604,9256,3.6212265848734764,3.5494967373334436,3.694350459664096
14,239816,8348,3.481002101611235,3.408382659840177,3.5551118355426055
15,229881,8003,3.481366446117774,3.4072067133468136,3.5570808652617747
16,235360,8080,3.433038749150238,3.360236530120972,3.5073610407865887
17,247071,8406,3.402260888570492,3.3314989798513452,3.474471777646175
18,256558,9017,3.514604884665456,3.4440415589040563,3.586560246982907
19,255766,8744,3.4187499511272024,3.34902487582007,3.4898742528080033
20,215735,7290,3.37914571117343,3.3037243163144083,3.4562273735181317
21,141045,4489,3.1826721968166187,3.0923298791336093,3.2755646501120985
22,85169,2570,3.0175298524110885,2.9047425654207957,3.134555138774779
23,52182,1403,2.6886665900118816,2.5533271211611632,2.8309713404012724
