candidate,K_days,horizon_Dx,measurable,bf_pct,organic_pct,gap_pp,gap_lo,gap_hi,nb02_gap_pp
median,22.0,7,False,,,,,,-0.81
median,22.0,14,False,,,,,,-2.53
median,22.0,30,True,6.95,11.94,-4.99,-5.59,-4.39,-5.39
median,22.0,60,True,6.42,10.07,-3.64,-4.22,-3.07,-7.83
median,22.0,90,True,5.82,8.28,-2.46,-3.0,-1.92,-7.42
p75,42.2,7,False,,,,,,-0.81
p75,42.2,14,False,,,,,,-2.53
p75,42.2,30,False,,,,,,-5.39
p75,42.2,60,True,10.91,17.7,-6.79,-7.52,-6.06,-7.83
p75,42.2,90,True,10.94,14.43,-3.49,-4.21,-2.77,-7.42
p85,56.9,7,False,,,,,,-0.81
p85,56.9,14,False,,,,,,-2.53
p85,56.9,30,False,,,,,,-5.39
p85,56.9,60,True,14.44,22.27,-7.83,-8.64,-7.01,-7.83
p85,56.9,90,True,13.07,18.39,-5.32,-6.1,-4.54,-7.42
