K,n_flagged,flagged_pct,fp_rate_pct,recall_pct,specificity_pct,youden_J
1.0,72084,98.98,14.99,99.18,2.12,1.3
6.0,70031,96.16,14.65,96.74,7.09,3.83
11.0,65918,90.51,14.16,91.58,15.48,7.06
16.0,61501,84.45,13.63,85.97,24.08,10.05
21.0,56784,77.97,12.96,79.99,33.32,13.31
26.0,52012,71.42,12.29,73.83,42.1,15.94
31.0,48249,66.25,11.79,68.88,48.47,17.35
36.0,43169,59.28,11.1,62.11,56.59,18.71
41.0,37829,51.94,10.38,54.87,64.42,19.29
46.0,31876,43.77,9.39,46.74,72.88,19.62
51.0,28586,39.25,8.97,42.12,76.78,18.89
56.0,25171,34.56,8.63,37.22,80.34,17.56
