rank,feature,AUC_complete_case
1,pre_n_cart_ev,0.5698
2,pre_p_carted,0.5694
3,pre_n_categories,0.5661
4,pre_n_products,0.5651
5,pre_n_removals,0.5646
6,log1p_pre_n_removals,0.5646
7,pre_products_per_tenure_day,0.5641
8,pre_n_events,0.5622
9,pre_n_brands,0.5619
10,pre_events_per_tenure_day,0.561
11,pre_category_entropy,0.5541
12,fo_n_products,0.553
13,fo_n_items,0.5529
14,fs_p_touched,0.5522
15,fo_value,0.5508
16,fo_value_w,0.5507
17,fs_n_events,0.5501
18,fs_n_removals,0.5495
19,fs_n_categories,0.5469
20,pre_mean_session_depth,0.5456
21,pre_brand_entropy,0.5436
22,fs_n_brands,0.5424
23,fs_n_cart_ev,0.542
24,pre_p_viewed,0.5415
25,fo_n_categories,0.5404
26,pre_views_per_tenure_day,0.5398
27,pre_n_active_days,0.5391
28,cad_day_n_hist_gaps,0.5391
29,fo_price_vs_prior_mean,0.5387
30,pre_price_range_viewed,0.5384
31,fo_n_brands,0.5379
32,pre_cart_not_in_first_order_rate,0.5376
33,pre_sessions_per_tenure_day,0.5369
34,cad_day_median_gap_d,0.5342
35,fo_price_range,0.5336
36,pre_view_to_cart,0.533
37,pre_n_view_ev,0.5327
38,pre_removal_per_cart,0.5316
39,fs_price_range_viewed,0.5286
40,cad_n_hist_gaps,0.5267
41,pre_n_sessions,0.5267
42,pre_n_prior_sessions,0.5267
43,fs_p_viewed,0.5258
44,gap_before_purchase_day,0.5258
45,fo_price_z_in_category,0.5255
46,tenure_d,0.5254
47,fs_n_view_ev,0.5227
48,fo_min_price,0.5215
49,pre_days_since_last_event,0.5215
50,fo_median_price,0.5186
51,fs_duration_min,0.5177
52,gap_before_purchase_visit,0.5173
53,cad_lapse_ratio,0.5164
54,fo_max_price,0.5162
55,fs_max_price_viewed,0.5156
56,fo_product_price_pct_prior,0.5153
57,fo_catz_coverage,0.5142
58,fo_discount_vs_prior_max,0.5123
59,pre_brand_coverage,0.5121
60,fo_has_discount,0.5103
61,fo_brand_null_share,0.5084
62,cad_day_lapse_ratio,0.5065
63,pre_mean_price_pct_viewed,0.5059
64,cad_median_gap_d,0.5058
65,fs_start_hour,0.5049
66,fs_start_dow,0.5042
67,fo_is_weekend,0.5041
68,cad_iqr_gap_d,0.503
69,fo_hour,0.5028
70,fo_price_ref_coverage,0.5028
71,fo_dow,0.5022
72,cad_regularity,0.5014
73,first_order_is_bulk,0.5007
