feature,n_scored,AUC,signed_AUC,is_positive_control
POSCTRL_post30_n_events,91334,0.9386,0.9386,True
pre_n_products,90815,0.6097,0.6097,False
pre_n_events,90815,0.6092,0.6092,False
pre_n_cart_ev,90815,0.606,0.606,False
pre_n_categories,90815,0.6055,0.6055,False
pre_p_carted,90815,0.6042,0.6042,False
log1p_pre_n_removals,90815,0.6023,0.6023,False
pre_n_removals,90815,0.6023,0.6023,False
pre_n_active_days,90815,0.5972,0.5972,False
pre_n_brands,90815,0.5962,0.5962,False
tenure_d,90815,0.595,0.595,False
fo_n_items,91334,0.588,0.588,False
fo_n_products,91334,0.588,0.588,False
pre_n_sessions,90815,0.5868,0.5868,False
pre_sessions_per_tenure_day,90815,0.5865,0.4135,False
pre_n_prior_sessions,90815,0.5863,0.5863,False
pre_category_entropy,84297,0.5819,0.5819,False
pre_cart_not_in_first_order_rate,90152,0.5765,0.5765,False
pre_price_range_viewed,83317,0.5758,0.5758,False
fo_n_categories,91334,0.5752,0.5752,False
pre_removal_per_cart,90152,0.5752,0.5752,False
pre_p_viewed,90815,0.5748,0.5748,False
fo_value,91334,0.5747,0.5747,False
fo_value_w,91334,0.5747,0.5747,False
POSCTRL_naive_first_session_depth,91334,0.5737,0.5737,True
cad_day_n_hist_gaps,43092,0.5735,0.5735,False
pre_brand_entropy,84297,0.573,0.573,False
has_day_cadence,91334,0.5724,0.5724,False
has_session_cadence,91334,0.5707,0.5707,False
pre_n_view_ev,90815,0.5703,0.5703,False
fs_n_removals,81626,0.5693,0.5693,False
pre_events_per_tenure_day,90815,0.5677,0.4323,False
pre_products_per_tenure_day,90815,0.5658,0.4342,False
pre_views_per_tenure_day,90815,0.5657,0.4343,False
fo_n_brands,91334,0.5643,0.5643,False
fo_price_range,91334,0.5621,0.5621,False
fs_p_touched,81626,0.5604,0.5604,False
has_prior_sessions,91334,0.5593,0.5593,False
fo_min_price,91334,0.5564,0.4436,False
fs_n_categories,81626,0.5556,0.5556,False
cad_median_gap_d,42190,0.553,0.553,False
fs_n_events,81626,0.5525,0.5525,False
cad_iqr_gap_d,42190,0.5511,0.5511,False
fs_n_brands,81626,0.5466,0.5466,False
pre_mean_session_depth,90815,0.5447,0.5447,False
fo_median_price,91334,0.5369,0.4631,False
gap_before_purchase_visit,42445,0.5365,0.5365,False
fo_product_price_pct_prior,90299,0.5358,0.4642,False
cad_day_median_gap_d,24339,0.5354,0.4646,False
cad_n_hist_gaps,42190,0.5304,0.5304,False
fs_n_cart_ev,81626,0.5296,0.5296,False
fo_price_vs_prior_mean,90299,0.5261,0.4739,False
cad_regularity,42190,0.5243,0.5243,False
pre_mean_price_pct_viewed,83317,0.5226,0.4774,False
gap_before_purchase_day,34051,0.5207,0.4793,False
pre_view_to_cart,84297,0.5195,0.5195,False
fs_duration_min,81626,0.5186,0.5186,False
pre_days_since_last_event,90815,0.5184,0.4816,False
cad_lapse_ratio,42190,0.5182,0.4818,False
fo_catz_coverage,91334,0.5164,0.4836,False
fs_price_range_viewed,81626,0.5157,0.5157,False
fo_max_price,91334,0.5147,0.5147,False
fo_brand_null_share,91334,0.5143,0.5143,False
pre_brand_coverage,84297,0.514,0.486,False
fo_price_z_in_category,91334,0.5136,0.5136,False
fs_p_viewed,81626,0.5119,0.5119,False
fs_start_hour,81626,0.5103,0.4897,False
fo_hour,91334,0.5091,0.4909,False
fs_n_view_ev,81626,0.5086,0.5086,False
fs_max_price_viewed,67930,0.5079,0.4921,False
cad_day_lapse_ratio,24339,0.5078,0.5078,False
fo_discount_vs_prior_max,90299,0.5058,0.4942,False
fo_price_ref_coverage,91334,0.5052,0.4948,False
fo_has_discount,91334,0.5042,0.4958,False
fs_has_pre_purchase_events,91334,0.5017,0.4983,False
fo_is_weekend,91334,0.5015,0.4985,False
fo_dow,91334,0.5013,0.4987,False
has_pre_t0_history,91334,0.5006,0.5006,False
fs_start_dow,81626,0.5004,0.4996,False
first_order_is_bulk,91334,0.5003,0.5003,False
