component_size,kept,kept_block,kept_train_auc,dropped
4,tenure_d,M3 pre-t0 browsing,0.6002,"pre_sessions_per_tenure_day (0.5911, M3), pre_events_per_tenure_day (0.5719, M3), pre_products_per_tenure_day (0.5700, M3)"
3,pre_n_active_days,M3 pre-t0 browsing,0.5994,"cad_day_n_hist_gaps (0.5772, M4), has_day_cadence (0.5742, M4)"
3,pre_n_sessions,M3 pre-t0 browsing,0.5874,"pre_n_prior_sessions (0.5866, M3), cad_n_hist_gaps (0.5311, M4)"
2,fo_discount_vs_prior_max,M1 first order,0.5174,"fo_has_discount (0.5151, M1)"
2,fs_start_dow,M2 first-order session,0.5005,"fo_dow (0.5001, M1)"
2,fs_start_hour,M2 first-order session,0.5092,"fo_hour (0.5079, M1)"
2,fo_product_price_pct_prior,M1 first order,0.5357,"fo_median_price (0.5356, M1)"
2,fo_n_products,M1 first order,0.5875,"fo_n_items (0.5874, M1)"
2,fo_value,M1 first order,0.5762,"fo_value_w (0.5762, M1)"
2,fs_p_touched,M2 first-order session,0.5603,"fs_n_events (0.5529, M2)"
2,fs_p_viewed,M2 first-order session,0.5128,"fs_n_view_ev (0.5096, M2)"
2,log1p_pre_n_removals,M3 pre-t0 browsing,0.6037,"pre_n_removals (0.6037, M3)"
2,pre_n_cart_ev,M3 pre-t0 browsing,0.6051,"pre_p_carted (0.6031, M3)"
2,pre_n_products,M3 pre-t0 browsing,0.6101,"pre_n_events (0.6096, M3)"
2,pre_p_viewed,M3 pre-t0 browsing,0.5753,"pre_n_view_ev (0.5701, M3)"
