num_leaves,min_child_samples,learning_rate,feature_fraction,bagging_fraction,bagging_freq,lambda_l2,best_iter,valid_AP
15,300,0.05,0.9,0.8,1,10.0,127,0.15838
31,100,0.05,0.6,0.8,1,1.0,92,0.15775
15,100,0.05,0.6,0.8,1,1.0,99,0.15774
31,100,0.05,0.9,0.8,1,1.0,91,0.15764
15,300,0.05,0.6,0.8,1,10.0,238,0.15744
15,100,0.05,0.9,0.8,1,1.0,99,0.15731
31,300,0.05,0.6,0.8,1,1.0,81,0.15724
15,300,0.05,0.9,0.8,1,1.0,84,0.15626
15,100,0.05,0.6,0.8,1,10.0,106,0.15606
15,100,0.05,0.9,0.8,1,10.0,81,0.15601
31,300,0.05,0.6,0.8,1,10.0,78,0.15598
31,300,0.05,0.9,0.8,1,1.0,80,0.15564
15,300,0.05,0.6,0.8,1,1.0,87,0.15549
31,100,0.05,0.6,0.8,1,10.0,107,0.15523
31,300,0.05,0.9,0.8,1,10.0,80,0.15512
31,100,0.05,0.9,0.8,1,10.0,55,0.15503
