order,step,block_added,n_params,loglik,df,LR_chi2,p_value,chi2_per_df,pseudo_R2,test_ROC,test_AP
A,M0,(intercept only),1,-26600.150827,,,,,0.0,0.5,0.116533
A,M1,M1 first order,19,-26040.775664,18.0,1118.750326,0.0,62.152796,0.021029,0.584182,0.152575
A,M2,M2 first-order session,33,-25909.673247,14.0,262.204834,0.0,18.728917,0.025958,0.596285,0.159163
A,M3,M3 pre-t0 browsing,58,-25446.311733,25.0,926.723029,0.0,37.068921,0.043377,0.627859,0.179536
A,M4,M4 cadence,70,-25385.542628,12.0,121.53821,0.0,10.128184,0.045662,0.627827,0.180924
B,M0,(intercept only),1,-26600.150827,,,,,0.0,0.5,0.116533
B,M1,M3 pre-t0 browsing,26,-25801.079836,25.0,1598.141982,0.0,63.925679,0.03004,0.619151,0.177716
B,M2,M4 cadence,38,-25739.431048,12.0,123.297575,0.0,10.274798,0.032358,0.620082,0.17768
B,M3,M2 first-order session,52,-25633.997894,14.0,210.866308,0.0,15.061879,0.036321,0.625141,0.180376
B,M4,M1 first order,70,-25385.542628,18.0,496.910533,0.0,27.606141,0.045662,0.627827,0.180924
