order,step,block_added,n_params,loglik,df,LR_chi2,p_value,chi2_per_df,pseudo_R2,test_ROC,test_AP,horizon
A,M0,(intercept only),1,-26600.150827,,,,,0.0,0.5,0.116533,D30
A,M1,M1 first order,19,-26040.752325,18.0,1118.797004,0.0,62.155389,0.02103,0.584179,0.152573,D30
A,M2,M2 first-order session,33,-25909.653219,14.0,262.198211,0.0,18.728444,0.025958,0.596282,0.159164,D30
A,M3,M3 pre-t0 browsing,58,-25446.229833,25.0,926.846773,0.0,37.073871,0.04338,0.627858,0.179539,D30
A,M4,M4 cadence,70,-25385.478035,12.0,121.503595,0.0,10.1253,0.045664,0.627827,0.18093,D30
B,M0,(intercept only),1,-26600.150827,,,,,0.0,0.5,0.116533,D30
B,M1,M3 pre-t0 browsing,26,-25800.912095,25.0,1598.477464,0.0,63.939099,0.030046,0.61915,0.177727,D30
B,M2,M4 cadence,38,-25739.285831,12.0,123.252527,0.0,10.271044,0.032363,0.620086,0.17769,D30
B,M3,M2 first-order session,52,-25633.882518,14.0,210.806625,0.0,15.057616,0.036326,0.625141,0.180382,D30
B,M4,M1 first order,70,-25385.478035,18.0,496.808967,0.0,27.600498,0.045664,0.627827,0.18093,D30
A,M0,(intercept only),1,-27318.236564,,,,,0.0,0.5,0.156474,D60
A,M1,M1 first order,19,-26457.414837,18.0,1721.643455,0.0,95.646859,0.031511,0.590885,0.200717,D60
A,M2,M2 first-order session,33,-26262.163654,14.0,390.502365,0.0,27.893026,0.038658,0.602923,0.210246,D60
A,M3,M3 pre-t0 browsing,58,-25652.113343,25.0,1220.100623,0.0,48.804025,0.060989,0.647341,0.249544,D60
A,M4,M4 cadence,70,-25574.426075,12.0,155.374536,0.0,12.947878,0.063833,0.646684,0.249432,D60
B,M0,(intercept only),1,-27318.236564,,,,,0.0,0.5,0.156474,D60
B,M1,M3 pre-t0 browsing,26,-26201.699716,25.0,2233.073696,0.0,89.322948,0.040871,0.635778,0.243957,D60
B,M2,M4 cadence,38,-26116.512428,12.0,170.374577,0.0,14.197881,0.04399,0.634376,0.240548,D60
B,M3,M2 first-order session,52,-25970.028832,14.0,292.967192,0.0,20.926228,0.049352,0.640235,0.245809,D60
B,M4,M1 first order,70,-25574.426075,18.0,791.205514,0.0,43.955862,0.063833,0.646684,0.249432,D60
A,M0,(intercept only),1,-22259.719298,,,,,0.0,0.5,0.222679,D90
A,M1,M1 first order,19,-21465.604021,18.0,1588.230554,0.0,88.235031,0.035675,0.58812,0.277796,D90
A,M2,M2 first-order session,33,-21310.375398,14.0,310.457245,0.0,22.175518,0.042649,0.606561,0.293775,D90
A,M3,M3 pre-t0 browsing,58,-20697.711875,25.0,1225.327046,0.0,49.013082,0.070172,0.658689,0.356458,D90
A,M4,M4 cadence,70,-20649.956626,12.0,95.510498,0.0,7.959208,0.072317,0.659177,0.356893,D90
B,M0,(intercept only),1,-22259.719298,,,,,0.0,0.5,0.222679,D90
B,M1,M3 pre-t0 browsing,26,-21106.702231,25.0,2306.034134,0.0,92.241365,0.051798,0.644583,0.345746,D90
B,M2,M4 cadence,38,-21054.930893,12.0,103.542676,0.0,8.628556,0.054124,0.645622,0.346194,D90
B,M3,M2 first-order session,52,-20933.896256,14.0,242.069274,0.0,17.290662,0.059562,0.655347,0.352472,D90
B,M4,M1 first order,70,-20649.956626,18.0,567.87926,0.0,31.548848,0.072317,0.659177,0.356893,D90
