feature,block,mean_abs_shap,median_abs_shap,max_abs_shap
log1p_pre_n_removals,M3 pre-t0 browsing,0.18383,0.14873,0.90445
fo_price_vs_prior_mean,M1 first order,0.16526,0.14897,2.77223
fo_primary_category__te,M1 first order,0.14828,0.12506,0.46116
miss__fo_discount_vs_prior_max,missingness indicator,0.12658,0.12463,4.02977
miss__gap_before_purchase_day,missingness indicator,0.12073,0.10311,0.14837
fo_discount_vs_prior_max,M1 first order,0.11495,0.10349,3.19778
miss__cad_day_median_gap_d,missingness indicator,0.10454,0.06639,0.19918
tenure_d,M3 pre-t0 browsing,0.09891,0.03788,0.62836
miss__pre_mean_price_pct_viewed,missingness indicator,0.09473,0.06875,0.4223
miss__gap_before_purchase_visit,missingness indicator,0.08471,0.09123,0.09123
fs_duration_min,M2 first-order session,0.08168,0.03041,15.29147
has_prior_sessions,M3 pre-t0 browsing,0.08038,0.04891,0.14672
fo_n_categories,M1 first order,0.06958,0.0628,1.42599
pre_n_categories,M3 pre-t0 browsing,0.05587,0.04532,0.73302
pre_n_active_days,M3 pre-t0 browsing,0.05423,0.03177,1.52365
miss__pre_view_to_cart,missingness indicator,0.05419,0.03563,0.28824
fo_value,M1 first order,0.05323,0.04326,1.69509
pre_price_range_viewed,M3 pre-t0 browsing,0.04866,0.05328,0.12138
pre_cart_not_in_first_order_rate,M3 pre-t0 browsing,0.04684,0.04422,0.14905
fo_price_z_in_category,M1 first order,0.04583,0.03799,0.38031
miss__fs_max_price_viewed,missingness indicator,0.04434,0.03762,0.06406
pre_category_entropy,M3 pre-t0 browsing,0.03942,0.04155,0.15552
pre_n_products,M3 pre-t0 browsing,0.03651,0.02647,0.69589
fo_primary_brand__te,M1 first order,0.03539,0.01372,0.21661
fs_n_cart_ev,M2 first-order session,0.03492,0.02618,1.04229
fo_price_ref_coverage,M1 first order,0.03379,0.03254,0.98792
pre_mean_session_depth,M3 pre-t0 browsing,0.03313,0.02844,1.40292
miss__fs_n_cart_ev,missingness indicator,0.03189,0.02184,0.12379
pre_views_per_tenure_day,M3 pre-t0 browsing,0.03055,0.02697,0.44576
cad_median_gap_d,M4 cadence,0.02891,0.01229,1.07724
cad_day_median_gap_d,M4 cadence,0.02647,0.01412,0.64513
pre_mean_price_pct_viewed,M3 pre-t0 browsing,0.02453,0.02052,0.06015
fo_brand_null_share,M1 first order,0.02323,0.02318,0.04763
pre_brand_entropy,M3 pre-t0 browsing,0.02189,0.02513,0.06963
has_session_cadence,M4 cadence,0.02124,0.02286,0.02286
fs_n_categories,M2 first-order session,0.01787,0.01675,0.28906
pre_view_to_cart,M3 pre-t0 browsing,0.01678,0.01264,0.59745
pre_n_brands,M3 pre-t0 browsing,0.01638,0.0128,0.21283
pre_brand_coverage,M3 pre-t0 browsing,0.01583,0.01614,0.02656
fs_start_hour,M2 first-order session,0.01478,0.01334,0.03609
cad_iqr_gap_d,M4 cadence,0.01379,0.00664,0.30511
gap_before_purchase_day,M4 cadence,0.01268,0.00535,0.27432
fo_min_price,M1 first order,0.0115,0.00593,0.61979
pre_p_viewed,M3 pre-t0 browsing,0.01122,0.00767,0.30943
fs_price_range_viewed,M2 first-order session,0.00912,0.00574,0.50183
fs_start_dow,M2 first-order session,0.00763,0.00703,0.01576
miss__pre_removal_per_cart,missingness indicator,0.00754,0.00497,0.24367
gap_before_purchase_visit,M4 cadence,0.00743,0.00268,0.29202
fs_n_removals,M2 first-order session,0.00714,0.0057,0.72748
fs_n_brands,M2 first-order session,0.00652,0.0051,0.10711
cad_day_lapse_ratio,M4 cadence,0.0051,0.00103,0.48841
fs_p_touched,M2 first-order session,0.00498,0.00407,0.16695
fo_product_price_pct_prior,M1 first order,0.00433,0.00358,0.01216
pre_n_sessions,M3 pre-t0 browsing,0.00407,0.00267,0.23
cad_regularity,M4 cadence,0.00396,0.00263,0.94211
has_pre_t0_history,M3 pre-t0 browsing,0.00352,0.0024,0.23779
pre_n_cart_ev,M3 pre-t0 browsing,0.00332,0.00227,0.09708
fs_max_price_viewed,M2 first-order session,0.00269,0.00166,0.0749
cad_lapse_ratio,M4 cadence,0.00223,0.00022,1.06436
pre_removal_per_cart,M3 pre-t0 browsing,0.00217,0.00181,0.38506
fo_n_products,M1 first order,0.00196,0.00173,0.06311
pre_days_since_last_event,M3 pre-t0 browsing,0.0019,0.00015,0.61537
fo_is_weekend,M1 first order,0.00156,0.00096,0.00341
fs_p_viewed,M2 first-order session,0.00142,0.00113,0.07745
fo_catz_coverage,M1 first order,0.0014,0.00131,0.02064
first_order_is_bulk,M1 first order,0.00095,0.0,0.54299
fs_entry_event_type__te,M2 first-order session,0.00081,0.00095,0.0034
fo_max_price,M1 first order,0.00053,0.00034,0.01558
fo_n_brands,M1 first order,0.00015,0.00014,0.00112
