covariate,description,smd,abs_smd,sd_units_of_noise,mean_T,mean_C
fo_n_items,first-order items,0.00794,0.00794,0.76601,7.57652,7.50948
fo_n_categories,first-order categories,0.00408,0.00408,0.39364,4.3951,4.38008
pre_n_categories,pre-t0 categories,0.00407,0.00407,0.39144,8.13675,8.10377
pre_n_sessions,pre-t0 sessions,-0.00297,0.00297,0.28611,5.37446,5.4119
p_shipped,06 shipped propensity score,0.00255,0.00255,0.24656,0.10541,0.10527
pre_n_active_days,pre-t0 active days,-0.00194,0.00194,0.18658,2.29436,2.29938
pre_n_products,pre-t0 distinct products viewed,0.00177,0.00177,0.17062,22.15726,22.10304
pre_n_events,pre-t0 events,-0.00146,0.00146,0.14038,47.09084,47.20352
fo_value,first-order value (EUR),0.00112,0.00112,0.10765,37.81654,37.77218
acq_day,days since 2019-10-01 (acquisition timing),0.00092,0.00092,0.08833,50.5347,50.50688
tenure_d,pre-t0 tenure (days),-0.00076,0.00076,0.07346,8.84459,8.85805
fs_n_events,first-order session events (truncated at t0),0.00043,0.00043,0.03913,19.88125,19.86823
