scenario,contact_cost_eur,discount,margin,breakeven_pp,breakeven_rel_pct,n_per_arm_to_detect
"email, no offer",0.05,0.0,0.2,0.588,5.7,42828.0
"email, no offer",0.05,0.0,0.3,0.392,3.8,95574.0
"email, no offer",0.05,0.0,0.4,0.294,2.9,169207.0
"premium channel, no offer",0.15,0.0,0.2,1.764,17.2,4990.0
"premium channel, no offer",0.15,0.0,0.3,1.176,11.5,10968.0
"premium channel, no offer",0.15,0.0,0.4,0.882,8.6,19268.0
"direct mail, no offer",0.5,0.0,0.2,5.879,57.4,518.0
"direct mail, no offer",0.5,0.0,0.3,3.92,38.2,1093.0
"direct mail, no offer",0.5,0.0,0.4,2.94,28.7,1878.0
email + 10% discount,0.05,0.1,0.2,10.621,103.6,181.0
email + 10% discount,0.05,0.1,0.3,5.411,52.8,603.0
email + 10% discount,0.05,0.1,0.4,3.63,35.4,1262.0
email + 20% discount,0.05,0.2,0.2,271.278,2647.0,
email + 20% discount,0.05,0.2,0.3,19.391,189.2,65.0
email + 20% discount,0.05,0.2,0.4,10.055,98.1,199.0
