design,true_effect_pp,P_ship_pct,P_kill_pct,P_inconclusive_pct
"A) detect-vs-zero, 15,058/arm",0.0,0.1,20.1,79.8
"A) detect-vs-zero, 15,058/arm",0.392,2.5,2.5,95.0
"A) detect-vs-zero, 15,058/arm",0.75,17.1,0.1,82.8
"A) detect-vs-zero, 15,058/arm",1.0,39.9,0.0,60.1
"A) detect-vs-zero, 15,058/arm",1.5,86.7,0.0,13.3
"B) decision-powered, 40,721/arm",0.0,0.0,45.4,54.6
"B) decision-powered, 40,721/arm",0.392,2.5,2.5,95.0
"B) decision-powered, 40,721/arm",0.75,38.1,0.0,61.8
"B) decision-powered, 40,721/arm",1.0,80.0,0.0,20.0
"B) decision-powered, 40,721/arm",1.5,99.9,0.0,0.1
